service_id,date,exception_type
E,20200326,1
E,20200327,1
E,20200328,1
E,20200330,1
E,20200331,1
E,20200401,1
E,20200402,1
E,20200403,1
E,20200404,1
E,20200406,1
E,20200407,1
E,20200415,1
E,20200416,1
E,20200417,1
E,20200418,1
E,20200420,1
E,20200421,1
E,20200422,1
E,20200423,1
E,20200424,1
E,20200425,1
E,20200427,1
E,20200428,1
E,20200429,1
E,20200430,1
E,20200501,1
E,20200502,1
E,20200504,1
E,20200505,1
E,20200506,1
E,20200507,1
E,20200508,1
E,20200509,1
E,20200511,1
E,20200512,1
E,20200513,1
E,20200514,1
E,20200515,1
E,20200516,1
E,20200518,1
E,20200519,1
E,20200520,1
E,20200521,1
E,20200522,1
E,20200523,1
E,20200525,1
E,20200526,1
E,20200527,1
E,20200528,1
E,20200529,1
E,20200530,1
E,20200601,1
E,20200602,1
E,20200603,1
E,20200604,1
E,20200605,1
E,20200606,1
E,20200608,1
E,20200609,1
F,20200111,1
F,20200118,1
F,20200125,1
F,20200201,1
F,20200208,1
F,20200215,1
F,20200222,1
F,20200229,1
F,20200307,1
F,20200314,1
F,20200321,1
F,20200328,1
F,20200404,1
F,20200418,1
F,20200425,1
F,20200502,1
F,20200509,1
F,20200516,1
F,20200523,1
F,20200530,1
F,20200606,1
